,TF,Term,wTF
27,4,texts,0.08695652173913043
34,3,terms,0.06521739130434782
0,1,objective,0.021739130434782608
1,1,module,0.021739130434782608
2,1,provide,0.021739130434782608
3,1,customizable,0.021739130434782608
4,1,standardized,0.021739130434782608
5,1,text,0.021739130434782608
6,1,preprocessing,0.021739130434782608
7,1,phase,0.021739130434782608
8,1,prior,0.021739130434782608
9,1,analyses,0.021739130434782608
10,1,advanced,0.021739130434782608
11,1,machine,0.021739130434782608
12,1,learning,0.021739130434782608
13,1,statistical,0.021739130434782608
14,1,techniques,0.021739130434782608
15,1,applied,0.021739130434782608
16,1,compared,0.021739130434782608
17,1,sense,0.021739130434782608
18,1,provides,0.021739130434782608
19,1,pipelined,0.021739130434782608
20,1,set,0.021739130434782608
21,1,functionalities,0.021739130434782608
22,1,able,0.021739130434782608
23,1,inspect,0.021739130434782608
24,1,organize,0.021739130434782608
25,1,prune,0.021739130434782608
26,1,merge,0.021739130434782608
28,1,around,0.021739130434782608
29,1,specific,0.021739130434782608
30,1,theme,0.021739130434782608
31,1,topic,0.021739130434782608
32,1,remove,0.021739130434782608
33,1,unwanted,0.021739130434782608
35,1,literals,0.021739130434782608
36,1,tokenize,0.021739130434782608
37,1,count,0.021739130434782608
38,1,desired,0.021739130434782608
39,1,stem,0.021739130434782608
40,1,tokenized,0.021739130434782608
